;NOME;IDA_2020;IDA_2021;IDA_2022;cluster
680;ALUNO-681;1.25;6.6;4.555555555555555;3
685;ALUNO-686;9.0;6.5;6.583333333333333;2
688;ALUNO-689;5.5;7.9;6.333333333333333;1
692;ALUNO-693;10.0;5.9;7.416666666666666;2
694;ALUNO-695;9.0;7.1;7.25;2
699;ALUNO-700;4.5;4.9;4.0;3
702;ALUNO-703;9.5;6.3;6.188888888888889;2
706;ALUNO-707;8.0;5.4;3.5;0
707;ALUNO-708;10.0;5.1;2.833333333333333;0
709;ALUNO-710;9.0;8.3;5.111111111111111;2
720;ALUNO-721;4.0;2.5;1.277777777777778;3
731;ALUNO-732;7.666666666666667;8.0;6.077777777777778;1
736;ALUNO-737;6.5;6.9;6.333333333333333;1
737;ALUNO-738;6.0;8.1;4.877777777777777;1
738;ALUNO-739;8.333333333333334;7.6;7.388888888888889;2
742;ALUNO-743;10.0;6.4;8.416666666666666;2
745;ALUNO-746;9.0;9.3;7.777777777777779;2
746;ALUNO-747;8.0;7.4;6.777777777777779;2
752;ALUNO-753;2.333333333333333;0.8;1.777777777777778;3
754;ALUNO-755;8.0;6.8;6.944444444444446;2
756;ALUNO-757;4.666666666666667;2.9;4.75;3
759;ALUNO-760;10.0;6.8;3.916666666666667;0
765;ALUNO-766;3.6666666666666665;6.5;4.766666666666667;3
767;ALUNO-768;7.666666666666667;8.4;6.533333333333334;1
772;ALUNO-773;9.5;8.9;8.444444444444445;2
782;ALUNO-783;4.5;3.6;6.25;3
789;ALUNO-790;8.666666666666666;7.5;7.0;2
791;ALUNO-792;10.0;4.1;4.611111111111112;0
793;ALUNO-794;6.5;8.2;6.588888888888889;1
795;ALUNO-796;8.333333333333334;2.3;4.555555555555555;0
806;ALUNO-807;9.0;9.1;9.5;2
810;ALUNO-811;9.0;6.3;7.25;2
813;ALUNO-814;3.75;4.4;3.666666666666667;3
816;ALUNO-817;7.0;7.6;7.222222222222221;1
819;ALUNO-820;9.0;8.2;8.433333333333332;2
822;ALUNO-823;9.5;3.9;7.166666666666667;0
823;ALUNO-824;9.5;4.9;4.25;0
824;ALUNO-825;4.666666666666667;1.2;5.477777777777778;3
827;ALUNO-828;7.0;7.3;3.833333333333334;1
828;ALUNO-829;0.0;3.6;5.666666666666667;3
829;ALUNO-830;7.0;7.9;7.166666666666667;1
830;ALUNO-831;8.5;3.6;3.0;0
834;ALUNO-835;0.0;1.6;3.25;3
839;ALUNO-840;10.0;6.6;7.25;2
847;ALUNO-848;7.0;4.9;3.916666666666667;0
849;ALUNO-850;6.666666666666667;6.6;6.711111111111111;1
850;ALUNO-851;9.0;4.8;8.583333333333334;2
854;ALUNO-855;8.0;2.8;4.25;0
857;ALUNO-858;9.5;6.2;4.583333333333333;0
860;ALUNO-861;8.666666666666666;7.7;6.877777777777777;2
861;ALUNO-862;10.0;6.5;8.25;2
865;ALUNO-866;9.0;8.4;9.583333333333332;2
871;ALUNO-872;6.0;2.9;4.333333333333333;3
876;ALUNO-877;7.5;1.9;4.75;0
885;ALUNO-886;8.5;7.1;7.25;2
888;ALUNO-889;7.0;8.3;6.555555555555556;1
901;ALUNO-902;8.0;5.4;7.416666666666666;1
902;ALUNO-903;10.0;8.3;7.5;2
908;ALUNO-909;2.0;3.1;4.5;3
909;ALUNO-910;1.3333333333333333;5.0;2.966666666666666;3
910;ALUNO-911;7.666666666666667;5.1;5.0;0
915;ALUNO-916;7.0;7.8;8.511111111111111;1
918;ALUNO-919;5.333333333333333;5.5;1.477777777777778;3
921;ALUNO-922;4.5;5.6;5.166666666666667;3
922;ALUNO-923;9.0;3.9;8.483333333333334;2
925;ALUNO-926;8.5;6.9;3.555555555555556;0
926;ALUNO-927;10.0;4.7;6.25;0
929;ALUNO-930;8.0;9.0;8.466666666666667;2
930;ALUNO-931;9.5;6.6;3.333333333333333;0
931;ALUNO-932;7.5;6.4;5.444444444444444;1
936;ALUNO-937;10.0;8.3;4.777777777777778;2
943;ALUNO-944;4.333333333333333;1.3;0.9444444444444444;3
947;ALUNO-948;6.0;6.2;4.388888888888889;1
956;ALUNO-957;7.5;5.3;6.916666666666666;1
957;ALUNO-958;8.0;7.6;5.800000000000001;1
960;ALUNO-961;10.0;4.2;4.5;0
963;ALUNO-964;9.0;6.3;5.777777777777778;2
982;ALUNO-983;5.5;7.2;5.955555555555556;1
983;ALUNO-984;0.0;1.1;4.0;3
988;ALUNO-989;7.0;5.8;5.916666666666667;1
990;ALUNO-991;2.5;5.2;5.5;3
992;ALUNO-993;6.0;6.6;8.88888888888889;1
993;ALUNO-994;9.0;7.4;5.0;2
995;ALUNO-996;6.0;5.6;7.166666666666666;1
996;ALUNO-997;9.0;8.6;8.0;2
1001;ALUNO-1002;8.333333333333334;7.5;8.277777777777777;2
1003;ALUNO-1004;9.0;6.4;8.666666666666668;2
1009;ALUNO-1010;10.0;5.2;4.5;0
1013;ALUNO-1014;5.0;6.3;8.833333333333332;1
1014;ALUNO-1015;6.666666666666667;6.9;7.266666666666667;1
1016;ALUNO-1017;8.5;5.8;6.888888888888888;2
1021;ALUNO-1022;9.0;1.9;7.583333333333334;0
1027;ALUNO-1028;7.5;7.1;7.444444444444444;1
1028;ALUNO-1029;9.0;8.4;5.777777777777778;2
1030;ALUNO-1031;10.0;8.1;8.833333333333332;2
1033;ALUNO-1034;5.5;5.8;6.633333333333333;1
1050;ALUNO-1051;3.6666666666666665;1.3;5.833333333333333;3
1066;ALUNO-1067;9.5;8.1;4.916666666666667;2
1069;ALUNO-1070;9.5;5.4;4.416666666666667;0
1071;ALUNO-1072;7.333333333333333;4.6;4.122222222222223;0
1074;ALUNO-1075;6.666666666666667;6.3;6.744444444444444;1
1077;ALUNO-1078;10.0;0.0;5.583333333333334;0
1083;ALUNO-1084;9.0;5.6;5.0;0
