;NOME;IPS_2020;IPS_2021;IPS_2022;cluster
295;ALUNO-296;7.5;7.5;7.5;1
300;ALUNO-301;7.5;7.5;7.5;1
304;ALUNO-305;7.5;5.6;6.25;3
311;ALUNO-312;7.5;4.4;5.0;2
312;ALUNO-313;7.5;5.0;5.0;3
322;ALUNO-323;5.0;4.4;5.0;2
331;ALUNO-332;7.5;7.5;7.5;1
336;ALUNO-337;10.0;7.5;8.125;1
339;ALUNO-340;7.5;7.5;7.5;1
341;ALUNO-342;5.625;7.5;4.375;0
344;ALUNO-345;7.5;7.5;7.5;1
347;ALUNO-348;6.25;7.5;7.5;1
358;ALUNO-359;7.5;7.5;7.5;1
363;ALUNO-364;4.375;4.4;4.375;2
364;ALUNO-365;5.0;5.0;5.625;0
369;ALUNO-370;7.5;6.3;5.625;3
372;ALUNO-373;5.625;5.6;5.0;0
374;ALUNO-375;7.5;7.5;5.625;3
376;ALUNO-377;4.375;5.6;5.0;0
377;ALUNO-378;3.75;4.4;5.625;2
380;ALUNO-381;2.5;6.3;5.625;0
386;ALUNO-387;4.375;5.0;6.25;0
387;ALUNO-388;7.5;7.5;7.5;1
393;ALUNO-394;5.0;6.9;5.0;0
395;ALUNO-396;7.5;7.5;7.5;1
403;ALUNO-404;4.375;7.5;8.125;0
405;ALUNO-406;7.5;6.9;7.5;1
406;ALUNO-407;5.0;7.5;8.125;1
415;ALUNO-416;6.25;4.4;5.625;2
420;ALUNO-421;7.5;7.5;5.0;3
423;ALUNO-424;7.5;7.5;6.25;3
424;ALUNO-425;7.5;7.5;7.5;1
436;ALUNO-437;7.5;7.5;7.5;1
440;ALUNO-441;6.25;6.3;5.625;3
446;ALUNO-447;5.0;5.0;5.625;0
447;ALUNO-448;9.375;7.5;7.5;1
448;ALUNO-449;7.5;7.5;7.5;1
449;ALUNO-450;7.5;7.5;7.5;1
454;ALUNO-455;7.5;7.5;7.5;1
462;ALUNO-463;5.0;7.5;5.0;0
468;ALUNO-469;6.875;7.5;5.625;3
473;ALUNO-474;7.5;7.5;7.5;1
476;ALUNO-477;5.0;7.5;5.0;0
481;ALUNO-482;7.5;7.5;7.5;1
482;ALUNO-483;5.0;5.0;5.625;0
485;ALUNO-486;5.0;7.5;5.625;0
489;ALUNO-490;6.875;6.9;5.625;3
495;ALUNO-496;7.5;7.5;7.5;1
498;ALUNO-499;10.0;7.5;8.125;1
501;ALUNO-502;7.5;7.5;9.375;1
502;ALUNO-503;7.5;7.5;7.5;1
506;ALUNO-507;5.0;5.0;5.625;0
512;ALUNO-513;7.5;7.5;7.5;1
519;ALUNO-520;6.25;5.6;6.25;0
520;ALUNO-521;10.0;7.5;6.25;3
521;ALUNO-522;7.5;7.5;7.5;1
523;ALUNO-524;7.5;7.5;7.5;1
526;ALUNO-527;6.875;7.5;7.5;1
540;ALUNO-541;6.875;7.5;5.625;3
543;ALUNO-544;3.75;6.3;6.875;0
545;ALUNO-546;3.125;2.5;6.25;2
556;ALUNO-557;6.25;6.9;7.5;1
559;ALUNO-560;7.5;7.5;5.0;3
560;ALUNO-561;7.5;7.5;5.625;3
561;ALUNO-562;7.5;7.5;7.5;1
568;ALUNO-569;7.5;7.5;7.5;1
573;ALUNO-574;6.875;7.5;7.5;1
578;ALUNO-579;6.25;7.5;6.25;3
582;ALUNO-583;6.875;7.5;5.625;3
