;NOME;IPV_2020;IPV_2021;IPV_2022;cluster
854;ALUNO-855;6.888886666666665;7.1;5.5416575;3
857;ALUNO-858;9.250005;9.4;8.277776666666668;1
860;ALUNO-861;7.833333333333334;7.9;7.3333325;3
861;ALUNO-862;8.0;9.1;8.388893333333334;1
865;ALUNO-866;7.25;9.0;9.33334;1
871;ALUNO-872;7.944446666666667;3.7;5.12499;0
876;ALUNO-877;7.916665;8.5;5.2083225;3
885;ALUNO-886;7.58334;8.3;6.888883333333333;3
888;ALUNO-889;7.5;8.8;7.4999975;1
901;ALUNO-902;6.083335;6.6;7.749995;2
902;ALUNO-903;7.916665;9.7;8.222226666666666;1
908;ALUNO-909;8.0;7.2;7.722223333333334;3
909;ALUNO-910;6.749995;6.7;6.388886666666666;3
910;ALUNO-911;6.3333325;7.0;6.1249925;3
915;ALUNO-916;9.8333425;9.3;9.666675;1
918;ALUNO-919;7.444446666666667;6.8;6.388886666666667;3
921;ALUNO-922;8.833335;8.5;6.7083275;3
922;ALUNO-923;4.75;5.0;8.083335;2
925;ALUNO-926;7.055549999999999;8.1;6.7083275;3
926;ALUNO-927;7.833333333333333;8.8;7.5;1
929;ALUNO-930;8.722226666666666;9.3;10.00001;1
930;ALUNO-931;6.99999;8.2;8.166665;1
931;ALUNO-932;7.5;6.9;6.916665;3
936;ALUNO-937;7.777776666666667;8.4;6.124995;3
943;ALUNO-944;5.722213333333335;3.6;4.6249975;0
947;ALUNO-948;7.444443333333333;7.8;7.416665;3
956;ALUNO-957;8.055556666666668;7.9;8.388893333333334;1
957;ALUNO-958;9.111113333333334;8.3;6.7499975;3
960;ALUNO-961;8.0;7.9;8.0;1
963;ALUNO-964;8.0;8.0;7.8749975;1
982;ALUNO-983;8.11111;9.8;7.41667;1
983;ALUNO-984;7.61111;4.3;5.75;0
988;ALUNO-989;7.666666666666667;6.9;7.166666666666666;3
990;ALUNO-991;7.22222;7.7;7.555556666666667;3
992;ALUNO-993;8.458337499999999;6.3;7.2916675;3
993;ALUNO-994;7.944443333333333;8.3;6.4583275;3
995;ALUNO-996;8.277776666666668;6.2;7.61111;3
996;ALUNO-997;7.75;9.5;8.722226666666666;1
1001;ALUNO-1002;7.944446666666668;8.1;7.958335;1
1003;ALUNO-1004;5.5;6.3;8.33333;2
1009;ALUNO-1010;7.416665;8.1;7.5;3
1013;ALUNO-1014;7.222219999999999;8.7;7.277776666666666;3
1014;ALUNO-1015;9.000003333333332;9.1;8.91667;1
1016;ALUNO-1017;8.277776666666666;9.2;8.083335;1
1021;ALUNO-1022;7.5;7.9;7.166666666666666;3
1027;ALUNO-1028;7.111106666666665;7.8;5.7083275;3
1028;ALUNO-1029;9.000005;9.7;7.9166675;1
1030;ALUNO-1031;8.833335;9.0;7.5;1
1033;ALUNO-1034;7.944446666666668;9.0;7.333333333333333;1
1050;ALUNO-1051;7.72222;2.9;7.0416625;0
1066;ALUNO-1067;7.5;9.2;8.333333333333334;1
1069;ALUNO-1070;5.66666;8.7;5.16667;3
1071;ALUNO-1072;7.833333333333334;8.2;4.83333;3
1074;ALUNO-1075;8.55556;9.4;8.458337499999999;1
1077;ALUNO-1078;7.833333333333333;5.7;5.833336666666667;0
1083;ALUNO-1084;7.41667;8.2;5.888886666666667;3
1084;ALUNO-1085;7.375;5.5;5.833336666666667;0
1089;ALUNO-1090;7.166663333333332;9.0;5.999993333333334;3
1092;ALUNO-1093;7.055553333333334;6.8;8.055556666666668;3
1094;ALUNO-1095;8.083335;9.7;8.055563333333334;1
1102;ALUNO-1103;8.583335;5.5;6.2916575;0
1104;ALUNO-1105;7.75;7.3;7.88889;3
1109;ALUNO-1110;8.0;7.3;7.499996666666666;3
1122;ALUNO-1123;9.611113333333332;8.5;9.25;1
1126;ALUNO-1127;9.33334;7.8;7.333335;1
1127;ALUNO-1128;9.7083425;8.9;9.4166775;1
1129;ALUNO-1130;7.888890000000001;9.9;8.208337499999999;1
1135;ALUNO-1136;7.6250025;9.1;8.2500025;1
1140;ALUNO-1141;7.5;8.9;4.91667;3
1149;ALUNO-1150;7.61111;7.6;8.25;1
1155;ALUNO-1156;6.916665;6.2;6.166665;0
1158;ALUNO-1159;8.944449999999998;8.4;8.944446666666666;1
1160;ALUNO-1161;6.1249975;8.1;7.2083375;3
1164;ALUNO-1165;7.5;8.9;7.7916675;1
1166;ALUNO-1167;8.0;6.2;7.555556666666667;3
1167;ALUNO-1168;7.916665;9.0;7.333333333333333;1
1169;ALUNO-1170;7.25;5.2;6.833325;0
1170;ALUNO-1171;9.500006666666668;9.9;9.5000075;1
1173;ALUNO-1174;8.8333375;6.3;5.222213333333333;3
1175;ALUNO-1176;8.500003333333334;9.3;9.833343333333334;1
1180;ALUNO-1181;7.66667;8.7;7.333333333333333;3
1189;ALUNO-1190;6.777776666666665;8.3;6.166655;3
1190;ALUNO-1191;6.333335;4.2;8.2916725;0
1194;ALUNO-1195;7.75;8.3;8.6666725;1
1214;ALUNO-1215;9.000005;8.4;8.000003333333334;1
