;NOME;IEG_2020;IEG_2021;IEG_2022;cluster
560;ALUNO-561;5.5;1.1;5.788982259570494;0
561;ALUNO-562;9.7;7.9;8.282051282051283;3
568;ALUNO-569;10.0;10.0;10.0;3
573;ALUNO-574;8.4;8.6;9.477941176470589;3
578;ALUNO-579;8.5;6.3;8.354978354978355;1
582;ALUNO-583;6.2;5.6;6.513723544973545;2
584;ALUNO-585;8.0;1.3;5.396249243799152;0
585;ALUNO-586;8.1;9.6;9.314954051796157;3
587;ALUNO-588;10.0;9.6;9.48611111111111;3
593;ALUNO-594;8.8;9.2;9.217813051146384;3
601;ALUNO-602;9.4;4.6;3.838441890166029;2
602;ALUNO-603;8.1;9.2;8.61111111111111;3
607;ALUNO-608;6.3;7.2;7.560897435897437;1
612;ALUNO-613;8.4;9.2;7.233445566778901;3
614;ALUNO-615;10.0;8.8;9.03230203080278;3
621;ALUNO-622;4.2;3.6;2.816666666666667;2
623;ALUNO-624;3.4;5.0;3.536931818181818;2
633;ALUNO-634;7.1;2.1;5.833333333333334;0
637;ALUNO-638;9.2;6.3;3.63610347985348;2
641;ALUNO-642;6.7;7.5;9.365317341329336;1
643;ALUNO-644;8.6;10.0;8.310738968633705;3
644;ALUNO-645;10.0;6.7;4.015594541910332;1
646;ALUNO-647;8.2;1.7;8.945807279140613;0
656;ALUNO-657;9.6;6.3;9.544534412955466;1
662;ALUNO-663;8.5;2.9;4.984593837535014;0
663;ALUNO-664;10.0;8.6;9.485054347826086;3
667;ALUNO-668;7.1;5.8;7.324793465144342;1
680;ALUNO-681;7.9;6.3;6.922504578754578;1
685;ALUNO-686;8.6;5.8;7.349624060150376;1
688;ALUNO-689;9.3;9.2;9.249512670565302;3
692;ALUNO-693;10.0;5.0;8.624561403508771;1
694;ALUNO-695;10.0;10.0;9.88095238095238;3
699;ALUNO-700;6.9;4.6;5.858788554440729;2
702;ALUNO-703;9.9;6.7;5.945980743394537;1
706;ALUNO-707;8.7;7.1;6.868589743589744;1
707;ALUNO-708;8.1;9.2;6.130434782608695;1
709;ALUNO-710;8.2;9.2;9.099410315085372;3
720;ALUNO-721;7.3;3.8;3.809722222222223;2
731;ALUNO-732;7.0;6.4;5.248218852758495;2
736;ALUNO-737;9.6;7.1;9.682539682539682;3
737;ALUNO-738;9.0;7.8;9.182971014492754;3
738;ALUNO-739;7.3;8.1;8.035296867695186;1
742;ALUNO-743;9.8;8.8;8.483333333333333;3
745;ALUNO-746;9.1;8.8;9.39305259957434;3
746;ALUNO-747;9.1;8.9;8.864583333333334;3
752;ALUNO-753;6.6;2.5;3.440830721003135;2
754;ALUNO-755;7.5;4.7;8.792467948717949;1
756;ALUNO-757;4.3;5.3;6.6875;2
759;ALUNO-760;9.8;5.8;9.285714285714285;1
765;ALUNO-766;7.4;7.5;4.617281695286811;2
767;ALUNO-768;9.9;9.2;8.574712643678161;3
772;ALUNO-773;5.6;10.0;9.88095238095238;3
782;ALUNO-783;8.0;4.6;8.49527665317139;1
789;ALUNO-790;8.9;8.3;10.0;3
